"Impact","CVE Identifier","TITLE","TYPE","PUBLISHED","UPDATED"
"Critical","CVE-2022-22721, CVE-2022-22720, CVE-2021-44832","DSA-2022-152: Dell Unisphere Central Security Update for Multiple Third-Party Component Vulnerabilities","Advisory","31 May 2022","31 May 2022"
"Critical","CVE-2022-29082, CVE-2022-22720","DSA-2022-103: Dell EMC NetWorker Security Update for Multiple Vulnerabilities","Advisory","20 May 2022","31 May 2022"
"High","CVE-2021-36299, CVE-2021-36300, CVE-2021-36301, CVE-2021-20235","DSA-2021-177: Dell EMC iDRAC Security Update for Multiple Security Vulnerabilities","Advisory","26 May 2022","26 May 2022"
"Medium","CVE-2021-33078, CVE-2021-33077, CVE-2021-33080, CVE-2021-33074, CVE-2021-33069, CVE-2021-33075, CVE-2021-33083, CVE-2021-33082","DSA-2022-132: Dell Client Security Update for Intel SSD Vulnerabilities","Advisory","26 May 2022","26 May 2022"
"High","CVE-2021-33110, CVE-2021-33113, CVE-2021-33114, CVE-2021-33115, CVE-2021-33139, CVE-2021-33155","DSA-2022-041: Dell Client Security Update for Intel Killer Bluetooth and WiFi Vulnerabilities","Advisory","24 May 2022","25 May 2022"
"N/A","CVE-2022-22950, CVE-2022-22963, CVE-2022-22965","VNX False Positive Security Vulnerabilities for Spring4Shell Vulnerability (CVE-2022-22950,CVE-2022-22963, and CVE-2022-22965)","Informational","25 May 2022","25 May 2022"
"High","CVE-2022-24426","DSA-2022-074: Dell Command | Update and Dell Update, and Alienware Update Security Update for a Local Privilege Escalation Vulnerability","Advisory","20 May 2022","24 May 2022"
"Medium","CVE-2021-0121, CVE-2021-0120, CVE-2021-0061, CVE-2021-0062, CVE-2021-0012","DSA-2021-239: Dell Client Update for Intel Graphics Vulnerabilities","Advisory","05 Nov 2021","24 May 2022"
"Critical","CVE-2022-24422","DSA-2022-146: Dell EMC Integrated Data Protection Appliance  (PowerProtect DP Series) Security Update for iDRAC Component Vulnerability","Advisory","24 May 2022","24 May 2022"
"Critical","CVE-2022-0001, CVE-2022-0002, CVE-2022-0322, CVE-2022-0330, CVE-2022-0336, CVE-2022-0391, CVE-2022-0435, CVE-2022-0487, CVE-2022-0492, CVE-2022-0617, CVE-2022-0644, CVE-2022-0778, CVE-2022-0847, CVE-2022-1097, CVE-2022-21248, CVE-2022-21282, CVE-2022-21283, CVE-2022-21293, CVE-2022-21294, CVE-2022-21296, CVE-2022-21299, CVE-2022-21305, CVE-2022-21340, CVE-2022-21341, CVE-2022-21349, CVE-2022-21360, CVE-2022-21365, CVE-2022-22822, CVE-2022-22823, CVE-2022-22824, CVE-2022-22825, CVE-2022-22826, CVE-2022-22827, CVE-2022-22965, CVE-2022-22963, CVE-2022-22942, CVE-2022-23181, CVE-2022-23218, CVE-2022-23219, CVE-2022-23302, CVE-2022-23305, CVE-2022-23307, CVE-2022-23852, CVE-2022-23990, CVE-2022-2444, CVE-2022-2495, CVE-2022-25236, CVE-2021-0148, CVE-2021-3712, CVE-2021-36347, CVE-2021-36348, CVE-2021-0920, CVE-2021-0935, CVE-2021-20316, CVE-2021-25220, CVE-2021-28711, CVE-2021-28712, CVE-2021-28713, CVE-2021-28714, CVE-2021-28715, CVE-2021-33098, CVE-2021-3564, CVE-2021-3800, CVE-2021-39648, CVE-2021-39657, CVE-2021-3999, CVE-2021-4002, CVE-2021-4009, CVE-2021-4011, CVE-2021-4083, CVE-2021-4135, CVE-2021-4149, CVE-2021-4189, CVE-2021-4197, CVE-2021-4202, CVE-2021-43566, CVE-2021-43975, CVE-2021-43976, CVE-2021-44141, CVE-2021-44142, CVE-2021-44733, CVE-2021-4487, CVE-2021-4509, CVE-2021-45417, CVE-2021-45485, CVE-2021-45486, CVE-2021-45960, CVE-2021-46143, CVE-2020-27820, CVE-2020-28097, CVE-2020-29361, CVE-2019-15126, CVE-2018-25020, CVE-2018-25032, CVE-2021-4156, CVE-2022-24422","DSA-2022-101: Dell VxRail Security Update for Multiple Third-Party Component Vulnerabilities","Advisory","23 May 2022","23 May 2022"
"High","CVE-2022-22558, CVE-2021-0060, CVE-2021-0147, CVE-2021-0103, CVE-2021-0114, CVE-2021-0115, CVE-2021-0116, CVE-2021-0117, CVE-2021-0118, CVE-2021-0099, CVE-2021-0111, CVE-2021-0107, CVE-2021-0125, CVE-2021-0124, CVE-2021-0119, CVE-2021-0092, CVE-2021-0091, CVE-2021-0093, CVE-2021-0127, CVE-2021-22040, CVE-2021-22041, CVE-2021-22042, CVE-2021-22043, CVE-2021-2205, CVE-2021-28210, CVE-2021-28211, CVE-2019-14584","DSA-2022-087: Dell EMC PowerFlex Custom Node 15G, VxFlex Ready Node 14G, and ScaleIO Ready Node 13G Security Update for Multiple Vulnerabilities","Advisory","23 May 2022","23 May 2022"
"High","CVE-2021-26373, CVE-2021-26347, CVE-2021-26376, CVE-2021-26375, CVE-2021-26378, CVE-2021-26372, CVE-2021-26339, CVE-2021-26348, CVE-2021-26342, CVE-2021-26388, CVE-2021-26349, CVE-2021-26364, CVE-2021-26312, CVE-2021-26350","DSA-2022-126: Dell PowerEdge Server Security Updates for AMD Server Vulnerabilities","Advisory","23 May 2022","23 May 2022"
"High","CVE-2015-3414, CVE-2015-3415, CVE-2016-6153, CVE-2017-10989, CVE-2017-7555, CVE-2017-2518, CVE-2018-20346, CVE-2018-8740, CVE-2018-9517, CVE-2019-16168, CVE-2019-19244, CVE-2019-19317, CVE-2019-19603, CVE-2019-19645, CVE-2019-19646, CVE-2019-19880, CVE-2019-19923, CVE-2019-19924, CVE-2019-19925, CVE-2019-19926, CVE-2019-19959, CVE-2019-20218, CVE-2019-20795, CVE-2019-3874, CVE-2019-3900, CVE-2019-6462, CVE-2019-8457, CVE-2019-14553, CVE-2020-12770, CVE-2020-13434, CVE-2020-13435, CVE-2020-13630, CVE-2020-13631, CVE-2020-13632, CVE-2020-15358, CVE-2020-3702, CVE-2020-8616, CVE-2020-8617, CVE-2020-9327, CVE-2020-12944, CVE-2020-12946, CVE-2020-12951, CVE-2020-12954, CVE-2020-12961, CVE-2020-12988, CVE-2020-24511, CVE-2020-24512, CVE-2020-8670, CVE-2020-12357, CVE-2020-12358, CVE-2020-12360, CVE-2020-24486, CVE-2020-24509, CVE-2020-24507, CVE-2020-8703, CVE-2020-24506, CVE-2021-22946, CVE-2021-22947, CVE-2021-33574, CVE-2021-34556, CVE-2021-35477, CVE-2021-35550, CVE-2021-35561, CVE-2021-35564, CVE-2021-35565, CVE-2021-35567, CVE-2021-35603, CVE-2021-3640, CVE-2021-3653, CVE-2021-3656, CVE-2021-3677, CVE-2021-3679, CVE-2021-3732, CVE-2021-3733, CVE-2021-3737, CVE-2021-3744, CVE-2021-3752, CVE-2021-3753, CVE-2021-3759, CVE-2021-3764, CVE-2021-38160, CVE-2021-38198, CVE-2021-38204, CVE-2021-40490, CVE-2021-26312, CVE-2021-26315, CVE-2021-26320, CVE-2021-26321, CVE-2021-26322, CVE-2021-26323, CVE-2021-26325, CVE-2021-26326, CVE-2021-26327, CVE-2021-26329, CVE-2021-26330, CVE-2021-26331, CVE-2021-26335, CVE-2021-26336, CVE-2021-26337, CVE-2021-26338, CVE-2021-21581, CVE-2021-21580, CVE-2021-36301, CVE-2021-36300, CVE-2021-36299, CVE-2021-0095, CVE-2021-22045, CVE-2021-22048, CVE-2021-21980, CVE-2021-22049, CVE-2022-22948, CVE-2021-26324, CVE-2021-26332, CVE-2021-26408, CVE-2021-26351, CVE-2021-26352, CVE-2021-26353, CVE-2021-26370, CVE-2021-26390, CVE-2021-46771","DSA-2021-250: Dell EMC VxRail Security Update for Multiple Third-Party Component Vulnerabilities","Advisory","19 May 2022","19 May 2022"
"Critical","CVE-2020-0587, CVE-2020-0588, CVE-2020-0590, CVE-2020-0591, CVE-2020-0592, CVE-2020-0593, CVE-2020-8705, CVE-2020-8750, CVE-2020-8747, CVE-2020-8753, CVE-2020-8754, CVE-2020-8746, CVE-2020-8760, CVE-2020-8756, CVE-2020-8745, CVE-2020-8744, CVE-2020-8757, CVE-2020-8761, CVE-2020-8755, CVE-2020-8751, CVE-2020-8752, CVE-2020-8749, CVE-2020-8696, CVE-2020-8738, CVE-2020-8739, CVE-2020-8740, CVE-2020-8764, CVE-2020-8690, CVE-2020-8691, CVE-2020-8692, CVE-2020-8693, CVE-2020-12309, CVE-2020-12310, CVE-2020-12311, CVE-2020-0584","DSA-2020-256: Dell Networking Security Advisory for the Monthly and 2020.2 Intel Platform Updates (November 2020)","Advisory","18 May 2022","19 May 2022"
"Critical","CVE-2022-22972","DSA-2022-142: Dell EMC Enterprise Hybrid Cloud Security Update for a VMware Vulnerability","Advisory","18 May 2022","18 May 2022"
"Medium","CVE-2021-3712, CVE-2021-36347, CVE-2021-36348, CVE-2021-0200","DSA-2022-106: Dell Technologies PowerProtect Data Domain Security Update for Multiple Third-Party Component Vulnerabilities","Advisory","20 Apr 2022","17 May 2022"
"High","CVE-2021-4034?, CVE-2021-44832","DSA-2022-133: Dell EMC RecoverPoint Security Update Multiple Vulnerabilities","Advisory","17 May 2022","17 May 2022"
"Medium","CVE-2021-21581, CVE-2021-21580, CVE-2021-21579, CVE-2021-21578, CVE-2021-21577, CVE-2021-21576, CVE-2021-36300, CVE-2021-36301, CVE-2019-14553","DSA-2022-078: Dell Technologies PowerProtect Data Domain Security Update for iDRAC9 and BIOS Vulnerabilities","Advisory","16 May 2022","16 May 2022"
"High","CVE-2020-0591, CVE-2020-0592, CVE-2020-8764, CVE-2020-8738, CVE-2020-8740, CVE-2020-12357, CVE-2020-12360, CVE-2020-0548, CVE-2020-0549, CVE-2019-6111, CVE-2019-6109, CVE-2019-6110, CVE-2019-6111, CVE-2019-6109, CVE-2018-2068, CVE-2018-15473, CVE-2018-15919, CVE-2017-15906, CVE-2016-10012, CVE-2016-10708, CVE-2008-1483","DSA-2022-019: Dell EMC VPlex Security Update for Multiple Security Vulnerabilities","Advisory","31 Jan 2022","14 May 2022"
"N/A","CVE-2017-18342, CVE-2020-1712, CVE-2020-26160","Dell + Container Storage Interface Drivers and Operator False Positive Security Vulnerabilities","Informational","22 Dec 2021","13 May 2022"
"High","CVE-2022-24417, CVE-2022-24418","DSA-2022-095: Dell Client Platform Security Update for SMM Vulnerabilities","Advisory","09 May 2022","12 May 2022"
"N/A","CVE-2021-38297, CVE-2021-44906, CVE-2022-23806","Dell Container Storage Modules False Positive Security Vulnerabilities","Informational","11 May 2022","12 May 2022"
"Critical","CVE-2020-8694, CVE-2020-8695, CVE-2020-8696, CVE-2020-8698, CVE-2020-24511, CVE-2020-24512, CVE-2020-12357, CVE-2020-12358, CVE-2020-12360, CVE-2020-24486, CVE-2020-24506, CVE-2020-24507, CVE-2020-24509, CVE-2020-8670, CVE-2020-8703, CVE-2021-0095","DSA-2022-060: Dell EMC VS2-Server-PE Security Update for Multiple Security Vulnerabilities","Advisory","23 Feb 2022","12 May 2022"
"Critical","CVE-2022-29091","DSA-2022-138: Dell Unity, Dell UnityVSA, and Dell Unity XT Security Update for a Cross-Site Scripting Vulnerability","Advisory","11 May 2022","11 May 2022"
"Critical","CVE-2022-24422","DSA-2022-068: Dell iDRAC9 Security Update for an Improper Authentication Vulnerability","Advisory","09 May 2022","11 May 2022"
"Critical","CVE-2021-33503, CVE-2021-3712, CVE-2019-12900, CVE-2016-3189","DSA-2022-131: Dell EMC AppSync Security Update for Multiple Vulnerabilities in Embedded Service Enabler component of AppSync.","Advisory","11 May 2022","11 May 2022"
"Critical","CVE-2022-0330, CVE-2022-0435, CVE-2022-22942, CVE-2022-23218, CVE-2022-23219, CVE-2022-23852, CVE-2021-33574, CVE-2021-3999, CVE-2021-43784, CVE-2021-4115, CVE-2021-38185, CVE-2021-2161, CVE-2021-2341, CVE-2021-2369, CVE-2021-2388, CVE-2021-35550, CVE-2021-35556, CVE-2021-35559, CVE-2021-35561, CVE-2021-35564, CVE-2021-35565, CVE-2021-35567, CVE-2021-35578, CVE-2021-35586, CVE-2021-35603, CVE-2021-23214, CVE-2021-23222, CVE-2021-43618, CVE-2021-3564, CVE-2021-39648, CVE-2021-39657, CVE-2021-44733, CVE-2021-40330, CVE-2021-31799, CVE-2021-31810, CVE-2021-32066, CVE-2021-41617, CVE-2021-41089, CVE-2021-41092, CVE-2021-41190, CVE-2021-3733, CVE-2021-3572, CVE-2021-3733, CVE-2021-3737, CVE-2021-3712, CVE-2021-37600, CVE-2021-25219, CVE-2021-45417, CVE-2021-43527, CVE-2021-22947, CVE-2021-41103, CVE-2021-41190, CVE-2021-39537, CVE-2020-13645, CVE-2020-29361, CVE-2020-25613, CVE-2020-15862, CVE-2020-13434, CVE-2020-13435, CVE-2020-13630, CVE-2020-13631, CVE-2020-13632, CVE-2020-15358, CVE-2020-9327, CVE-2020-14562, CVE-2020-14573, CVE-2020-2655, CVE-2020-2767, CVE-2020-2778, CVE-2020-2816, CVE-2020-14155, CVE-2020-28097, CVE-2019-18218, CVE-2019-19244, CVE-2019-19317, CVE-2019-19603, CVE-2019-19645, CVE-2019-19646, CVE-2019-19880, CVE-2019-19923, CVE-2019-19924, CVE-2019-19925, CVE-2019-19926, CVE-2019-19959, CVE-2019-20218, CVE-2019-2818, CVE-2019-2821, CVE-2019-2977, CVE-2019-20838, CVE-2019-20795, CVE-2019-19977, CVE-2019-20907, CVE-2018-16301, CVE-2018-18751, CVE-2018-7999, CVE-2017-6004, CVE-2017-7244, CVE-2017-7245, CVE-2015-3414, CVE-2015-3415, CVE-2009-0035, CVE-2021-33574, CVE-2021-3999, CVE-2022-23218, CVE-2022-23219, CVE-2019-18218, CVE-2021-43784, CVE-2021-4115, CVE-2020-15862, CVE-2015-3414, CVE-2015-3415, CVE-2019-19244, CVE-2019-19317, CVE-2019-19603, CVE-2019-19645, CVE-2019-19646, CVE-2019-19880, CVE-2019-19923, CVE-2019-19924, CVE-2019-19925, CVE-2019-19926, CVE-2019-19959, CVE-2019-20218, CVE-2020-13434, CVE-2020-13435, CVE-2020-13630, CVE-2020-13631, CVE-2020-13632, CVE-2020-15358, CVE-2020-9327, CVE-2021-38185, CVE-2019-2818, CVE-2019-2821, CVE-2019-2977, CVE-2020-14562, CVE-2020-14573, CVE-2020-2655, CVE-2020-2767, CVE-2020-2778, CVE-2020-2816, CVE-2021-2161, CVE-2021-2341, CVE-2021-2369, CVE-2021-2388, CVE-2021-35550, CVE-2021-35556, CVE-2021-35559, CVE-2021-35561, CVE-2021-35564, CVE-2021-35565, CVE-2021-35567, CVE-2021-35578, CVE-2021-35586, CVE-2021-35603, CVE-2021-23214, CVE-2021-23222, CVE-2018-16301, CVE-2021-43618, CVE-2017-6004, CVE-2017-7244, CVE-2017-7245, CVE-2019-20838, CVE-2020-14155, CVE-2020-28097, CVE-2021-3564, CVE-2021-39648, CVE-2021-39657, CVE-2021-44733, CVE-2022-0330, CVE-2022-0435, CVE-2022-22942, CVE-2019-20795, CVE-2019-19977, CVE-2021-40330, CVE-2020-29361, CVE-2020-25613, CVE-2021-31799, CVE-2021-31810, CVE-2021-32066, CVE-2021-41617, CVE-2020-13645, CVE-2021-41089, CVE-2021-41092, CVE-2021-41190, CVE-2018-18751, CVE-2022-23852, CVE-2021-3733, CVE-2021-3572, CVE-2021-3733, CVE-2021-3737, CVE-2021-3712, CVE-2021-37600, CVE-2021-25219, CVE-2009-0035, CVE-2021-45417, CVE-2021-43527, CVE-2018-7999, CVE-2021-22947, CVE-2019-20907, CVE-2021-41103, CVE-2021-41190, CVE-2021-3953","DSA-2022-080: Dell EMC PowerProtect Data Manager Update for Multiple Security Vulnerabilities","Advisory","29 Mar 2022","11 May 2022"
"High","CVE-2020-12927, CVE-2020-12890, CVE-2020-12926","DSA-2022-093: Dell Client Security Update for AMD Vulnerabilities","Advisory","09 May 2022","10 May 2022"
"Medium","CVE-2021-26258","DSA-2022-123: Dell Client Security Update for Intel Killer Control Center Vulnerability","Advisory","09 May 2022","10 May 2022"
"Critical","CVE-2018-25020, CVE-2019-15126, CVE-2020-25721, CVE-2020-27820, CVE-2020-28097, CVE-2020-29361, CVE-2021-0127, CVE-2021-0145, CVE-2021-0146, CVE-2021-0920, CVE-2021-0935, CVE-2021-20316, CVE-2021-28711, CVE-2021-28712, CVE-2021-28713, CVE-2021-28714, CVE-2021-28715, CVE-2021-33098, CVE-2021-33120, CVE-2021-3564, CVE-2021-39648, CVE-2021-39657, CVE-2021-3999, CVE-2021-4002, CVE-2021-4083, CVE-2021-41089, CVE-2021-41091, CVE-2021-41092, CVE-2021-41103, CVE-2021-41190, CVE-2021-4135, CVE-2021-4149, CVE-2021-4197, CVE-2021-4202, CVE-2021-43566, CVE-2021-43975, CVE-2021-43976, CVE-2021-44141, CVE-2021-44142, CVE-2021-44733, CVE-2021-45417, CVE-2021-45485, CVE-2021-45486, CVE-2021-45960, CVE-2021-46143, CVE-2022-0322, CVE-2022-0330, CVE-2022-0336, CVE-2022-0435, CVE-2022-22822, CVE-2022-22823, CVE-2022-22824, CVE-2022-22825, CVE-2022-22826, CVE-2022-22827, CVE-2022-22942, CVE-2022-23218, CVE-2022-23219, CVE-2022-23648, CVE-2022-23852, CVE-2022-23990, CVE-2022-24407, CVE-2022-25235, CVE-2022-25236, CVE-2022-25313, CVE-2022-25314, CVE-2022-25315","DSA-2022-121: Dell EMC NetWorker vProxy Security Update for Multiple Third-Party Vulnerabilities","Advisory","04 May 2022","04 May 2022"
"N/A","CVE-2022-22963, CVE-2022-22965","CloudIQ: False Positive for Spring4Shell Vulnerability (CVE-2022-22963 and CVE-2022-22965)","Informational","26 Apr 2022","03 May 2022"
"Critical","CVE-2022-22965","DSA-2022-113: vRealize Orchestrator (vRO) Plug-ins for Dell EMC Storage Security Update for Spring RCE Vulnerabilities","Advisory","02 May 2022","02 May 2022"
"Critical","CVE-2022-22965","DSA-2022-104: Dell EMC AppSync Security Update for a Spring (""Spring4Shell"" or ""SpringShell"") Vulnerability","Advisory","02 May 2022","02 May 2022"
"High","CVE-2022-0778","DSA-2022-111: Dell EMC Cloud Tiering Appliance Security Update for Third-Party Component Vulnerabilities","Advisory","02 May 2022","02 May 2022"
"N/A","CVE-2022-22963, CVE-2022-22965","PowerStore: False Positive for Spring4Shell Vulnerability (CVE-2022-22963 and CVE-2022-22965)","Informational","25 Apr 2022","02 May 2022"
"Medium","CVE-2022-22948","DSA-2022-116: Dell EMC Enterprise Hybrid Cloud Security Update for a vCenter Server Vulnerability","Advisory","29 Apr 2022","29 Apr 2022"
"Critical","CVE-2021-44228, CVE-2021-45046, CVE-2021-45105, CVE-2021-22045, CVE-2021-22040, CVE-2021-22041, CVE-2021-22050, CVE-2021-0148","DSA-2022-045: Dell EMC VxRail Security Update for Multiple Third-Party Component Vulnerabilities","Advisory","22 Feb 2022","28 Apr 2022"
"High","CVE-2022-22957, CVE-2022-22958, CVE-2022-22959, CVE-2022-22960","DSA-2022-114: Dell EMC Enterprise Hybrid Cloud Security Update for Multiple Third-Party Component Vulnerabilities","Advisory","28 Apr 2022","28 Apr 2022"
"Critical","CVE-2022-0391, CVE-2022-22844, CVE-2022-0336, CVE-2022-0778, CVE-2022-0001, CVE-2022-0002, CVE-2022-0322, CVE-2022-0330, CVE-2022-0435, CVE-2022-0487, CVE-2022-0492, CVE-2022-0617, CVE-2022-0644, CVE-2022-22942, CVE-2022-24448, CVE-2022-24959, CVE-2022-24407, CVE-2022-23852, CVE-2022-23990, CVE-2022-25235, CVE-2022-25236, CVE-2022-25313, CVE-2022-25314, CVE-2022-25315, CVE-2022-23218, CVE-2022-23219, CVE-2021-3572, CVE-2021-20316, CVE-2021-43566, CVE-2021-44141, CVE-2021-44142, CVE-2021-0127, CVE-2021-0145, CVE-2021-0146, CVE-2021-33120, CVE-2021-3800, CVE-2021-3999, CVE-2021-27845, CVE-2021-3564, CVE-2021-4189, CVE-2021-45444, CVE-2021-44224, CVE-2021-44790, CVE-2021-46671, CVE-2021-39648, CVE-2021-39657, CVE-2021-0561, CVE-2021-4115, CVE-2021-4209, CVE-2021-20193, CVE-2021-4083, CVE-2021-4135, CVE-2021-3426, CVE-2021-4149, CVE-2021-4197, CVE-2021-4202, CVE-2021-44733, CVE-2021-44879, CVE-2021-45095, CVE-2020-28097, CVE-2020-11501, CVE-2020-19131, CVE-2020-29361, CVE-2020-35521, CVE-2020-35522, CVE-2020-35523, CVE-2020-35524, CVE-2019-12779, CVE-2019-17546, CVE-2019-20044, CVE-2018-1100, CVE-2018-1000654, CVE-2018-10844, CVE-2018-10845, CVE-2018-10846, CVE-2018-6003, CVE-2017-17095, CVE-2017-8779, CVE-2017-12618, CVE-2017-6891, CVE-2017-10790, CVE-2017-5335, CVE-2017-5336, CVE-2017-5337, CVE-2016-7444, CVE-2016-4008, CVE-2016-8610, CVE-2015-0294, CVE-2015-8805, CVE-2015-3622, CVE-2015-6251 2015-2806, CVE-2014-0092, CVE-2014-1959, CVE-2014-3466, CVE-2014-8564, CVE-2014-3467, CVE-2014-3468, CVE-2014-3469, CVE-2012-0390, CVE-2012-1569, CVE-2012-1573, CVE-2011-4128, CVE-2008-4989","DSA-2022-110: Dell EMC Avamar, Dell EMC NetWorker Virtual Edition (NVE), and Dell EMC PowerProtect DP Series Appliance / Dell EMC Integrated Data Protection Appliance (IDPA) Security Update for Multiple Vulnerabilities","Advisory","25 Apr 2022","28 Apr 2022"
"Medium","CVE-2022-26865","DSA-2022-102: Dell Client SupportAssist OS Recovery Security Update for an Authentication Bypass Vulnerability","Advisory","22 Apr 2022","26 Apr 2022"
"High","CVE-2022-0847, CVE-2022-0778","DSA-2022-109: Dell EMC NetWorker vProxy Security Update for Multiple Third-Party Vulnerabilities","Advisory","25 Apr 2022","25 Apr 2022"
"High","CVE-2022-0778","DSA-2022-099: Dell Wyse ThinOS Security Update for an OpenSSL Vulnerability","Advisory","14 Apr 2022","25 Apr 2022"
"High","CVE-2020-27339, CVE-2021-33625, CVE-2021-33626, CVE-2021-33627, CVE-2021-41837, CVE-2021-41838, CVE-2021-41839, CVE-2021-41840, CVE-2021-41841, CVE-2021-42059, CVE-2021-42060, CVE-2021-42113, CVE-2021-42554, CVE-2021-43323, CVE-2021-43522, CVE-2021-43615, CVE-2021-45969, CVE-2021-45970, CVE-2021-45971, CVE-2022-24030, CVE-2022-24031, CVE-2022-24069","DSA-2022-032: Dell Client Platform Security Update for InsydeH2O UEFI Firmware Vulnerabilities","Advisory","03 Feb 2022","25 Apr 2022"
"N/A","CVE-2020-0543, CVE-2020-0594, CVE-2020-0595, CVE-2020-0542, CVE-2020-0532, CVE-2020-0538, CVE-2020-0534, CVE-2020-0541, CVE-2020-0533, CVE-2020-0537, CVE-2020-0531, CVE-2020-0535, CVE-2020-0536, CVE-2020-0545, CVE-2020-0540, CVE-2020-0566, CVE-2020-0539, CVE-2020-0596, CVE-2020-8674, CVE-2020-0597, CVE-2020-0528, CVE-2020-0529, CVE-2020-0528, CVE-2020-0527, CVE-2020-0586","DSN-2020-002 June 2020 Intel Platform Update (IPU) 2020.1: Impact on Dell and Dell EMC Products","Notice","12 Dec 2020","22 Apr 2022"
"N/A","The CVE IDs are listed in the table below.","VPLEX: Metro Node False Positive Security Vulnerabilities","Informational","06 Apr 2022","21 Apr 2022"
"Critical","CVE-2021-42772, CVE-2021-42773, CVE-2021-42774, CVE-2021-42775","DSA-2022-100: Dell PowerEdge Server Security Update for Multiple Broadcom Emulex HBA Manager/OneCommand Manager Security Vulnerabilities","Advisory","15 Apr 2022","21 Apr 2022"
"Critical","CVE-2022-0778, CVE-2022-22965","DSA-2022-098: Dell Wyse Management Suite and Dell Wyse Management Suite Repository Security Updates for Multiple Vulnerabilities","Advisory","14 Apr 2022","21 Apr 2022"
"Critical","CVE-2021-44228, CVE-2021-45046, CVE-2021-45105, CVE-2021-44832, CVE-2022-23307","DSA-2021-295: Dell EMC PowerStore Family Security Update for Apache Log4j Remote Code Execution Vulnerability (CVE-2021-44228, CVE-2021-45046, CVE-2021-45105, CVE-2021-44832, and CVE-2022-23307)","Advisory","23 Dec 2021","21 Apr 2022"
"Critical","CVE-2021-44228, CVE-2021-45046","DSA-2021-274: Dell EMC Data Domain Security Update for Apache?Log4j Remote Code Execution Vulnerability (CVE-2021-44228 and CVE-2021-45046)","Advisory","15 Dec 2021","20 Apr 2022"
"Critical","CVE-2021-32840","DSA-2022-086: Dell EMC Log Scrubber Security Update for SharpZipLib Vulnerability","Advisory","11 Apr 2022","18 Apr 2022"
"N/A","CVE-2020-14372, CVE-2020-25632, CVE-2020-25647, CVE-2020-27749, CVE-2020-27779, CVE-2021-20225, CVE-2021-2023","DSN-2021-002: Dell Response to the March 2, 2021 Grub2 Vulnerability Disclosure","Notice","02 Mar 2021","18 Apr 2022"
"N/A","CVE-2021-21985, CVE-2021-21986","DSN-2021-004: Dell Response to the May 25, 2021 VMware vCenter Vulnerability Disclosure","Notice","10 Jun 2021","18 Apr 2022"
"N/A","CVE-2020-11896, CVE-2020-11897, CVE-2020-11898, CVE-2020-11899, CVE-2020-11900, CVE-2020-11901, CVE-2020-11902, CVE-2020-11903, CVE-2020-11904, CVE-2020-11905, CVE-2020-11906, CVE-2020-11907, CVE-2020-11908, CVE-2020-11909, CVE-2020-11910, CVE-2020-11911, CVE-2020-11912, CVE-2020-11913, CVE-2020-11914","DSN-2020-003: Dell response to the Ripple20 vulnerabilities","Notice","12 Dec 2020","18 Apr 2022"
"N/A","CVE-2020-13984, CVE-2020-1398, CVE-2020-13986, CVE-2020-13987, CVE-2020-13988, CVE-2020-17437, CVE-2020-17438, CVE-2020-17439, CVE-2020-17440, CVE-2020-17441, CVE-2020-17442, CVE-2020-17443, CVE-2020-17444, CVE-2020-17445, CVE-2020-17467, CVE-2020-17468, CVE-2020-17469, CVE-2020-17470, CVE-2020-24334, CVE-2020-24335, CVE-2020-24336, CVE-2020-24337, CVE-2020-24338, CVE-2020-24339, CVE-2020-24340, CVE-2020-24341, CVE-2020-24383, CVE-2020-25107, CVE-2020-25108, CVE-2020-25109, CVE-2020-25110, CVE-2020-25111, CVE-2020-25112","DSN-2020-006: Dell’s Response to the AMNESIA:33 Vulnerabilities","Notice","11 Dec 2020","18 Apr 2022"
"N/A","CVE-2020-10713, CVE-2020-14308, CVE-2020-14309, CVE-2020-14310, CVE-2020-14311, CVE-2020-15705, CVE-2020-15706, CVE-2020-15707","DSN-2020-004: Dell response to Grub2 vulnerabilities which may allow secure boot bypass","Notice","24 Jul 2020","18 Apr 2022"
"High","CVE-2020-12891, CVE-2020-12892, CVE-2020-12893, CVE-2020-12894, CVE-2020-12895, CVE-2020-12897, CVE-2020-12898, CVE-2020-12899, CVE-2020-12900, CVE-2020-12901, CVE-2020-12902, CVE-2020-12903, CVE-2020-12904, CVE-2020-12905, CVE-2020-12920, CVE-2020-12929, CVE-2020-12960, CVE-2020-12962, CVE-2020-12963, CVE-2020-12964, CVE-2020-12980, CVE-2020-12981, CVE-2020-12982, CVE-2020-12983, CVE-2020-12985, CVE-2020-12986, CVE-2020-12987","DSA-2022-016: Dell Client Platform Security Update for AMD Graphics Driver Vulnerabilities for Windows 10.","Advisory","13 Jan 2022","18 Apr 2022"
"Critical","CVE-2022-26857","DSA-2022-077: Dell OpenManage Enterprise Security Update for an Authorization Bypass Vulnerability","Advisory","28 Mar 2022","18 Apr 2022"
"High","CVE-2022-0778","DSA-2022-089: Dell Client Agent Enabler Security Update for an OpenSSL Vulnerability","Advisory","05 Apr 2022","18 Apr 2022"
